Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,Age_na,DriverRating_na
3,5,7,7,2,7,6,1,1,3,21.0,1,6,2,6,1,12,300,1.0,4,3,4,2,4,1,1,1,4,1,3,1994,3,55526.0694212824,False,False
5,3,7,7,2,3,6,4,2,3,34.0,1,5,2,6,2,15,400,4.0,4,3,4,5,5,2,1,1,4,4,1,1994,2,59294.4555709387,False,False
11,5,1,7,2,6,11,2,2,2,47.0,1,5,2,6,3,7,400,3.0,4,3,1,6,7,1,1,1,4,4,1,1994,2,71756.9413197145,False,False
7,2,3,18,1,2,7,1,2,2,65.0,2,3,2,1,4,4,400,2.0,4,3,1,7,8,2,1,1,3,4,1,1994,3,7584.15349342403,False,False
4,1,3,7,2,3,5,3,2,2,36.0,2,5,2,6,7,14,400,1.0,4,3,1,6,6,1,1,1,1,4,1,1994,2,98545.3743385517,False,False
3,4,3,7,2,8,4,5,2,3,30.0,1,5,2,6,9,7,400,4.0,4,3,4,5,5,1,2,1,2,4,1,1994,2,57166.7609536884,False,False
8,2,4,10,2,8,9,3,2,3,71.0,1,1,1,6,11,7,400,3.0,4,3,4,7,9,1,1,1,4,4,1,1994,1,62624.2287152393,False,False
8,5,2,7,2,3,9,5,2,2,52.0,1,3,2,1,12,13,400,1.0,4,3,2,7,7,1,1,1,4,4,1,1994,3,103420.785274585,False,False
5,3,1,6,2,2,6,3,2,2,28.0,1,3,2,6,13,11,400,1.0,4,3,1,6,5,1,1,1,4,4,1,1994,3,59747.5494391561,False,False
5,5,1,7,1,8,5,1,2,3,0.0,2,2,1,6,14,12,400,3.0,4,3,4,8,1,1,1,1,4,4,1,1994,2,82211.8592620639,False,False
5,5,2,6,2,6,5,1,2,2,61.0,1,3,2,6,15,3,400,1.0,4,3,4,7,8,1,1,1,4,4,1,1994,3,59551.8920478471,False,False
2,4,6,6,2,3,3,5,2,3,38.0,1,3,2,6,16,16,400,1.0,4,3,4,5,6,1,1,1,4,4,1,1994,3,54340.8120323971,False,False
1,4,5,6,2,8,10,1,2,2,41.0,1,1,1,6,17,15,400,4.0,4,3,4,6,6,1,1,1,4,4,1,1994,1,52273.7919473849,False,False
